split_type,policy,target,train_rows,median_abs_error,p95_abs_error,model_method
leave_session_128,taps_unified_adaptive_v6,throughput,86,0.009520490917627925,0.03011906227295247,numpy_ridge
leave_session_128,taps_unified_adaptive_v6,ready_queue_wait,86,353.14707305905085,1492.6908333233675,numpy_ridge
leave_session_128,taps_unified_adaptive_v6,region_utilization,86,0.05333735337511103,0.16172977765039404,numpy_ridge
leave_memory_8,reactive_admission,p95_jct,86,3.5089064030478454,9.446188153325078,numpy_ridge
leave_memory_8,reactive_admission,mean_jct,86,3.0016277079881846,7.04268371480066,numpy_ridge
leave_memory_8,reactive_admission,throughput,86,0.010557860177067238,0.03647785156132153,numpy_ridge
leave_memory_8,reactive_admission,ready_queue_wait,86,733.3367952292256,3401.656299295193,numpy_ridge
leave_memory_8,reactive_admission,region_utilization,86,0.050603277054484974,0.12317154380314335,numpy_ridge
leave_memory_8,acd_nisp,p95_jct,86,3.5089064030478454,9.446188153325078,numpy_ridge
leave_memory_8,acd_nisp,mean_jct,86,3.0016277079881846,7.04268371480066,numpy_ridge
leave_memory_8,acd_nisp,throughput,86,0.010557860177067238,0.03647785156132153,numpy_ridge
leave_memory_8,acd_nisp,ready_queue_wait,86,733.3367952292256,3401.656299295193,numpy_ridge
leave_memory_8,acd_nisp,region_utilization,86,0.050603277054484974,0.12317154380314335,numpy_ridge
leave_memory_8,taps_domain_v4,p95_jct,86,15.384149399313173,57.41403090273575,numpy_ridge
leave_memory_8,taps_domain_v4,mean_jct,86,3.3720407430692205,9.306390603459185,numpy_ridge
leave_memory_8,taps_domain_v4,throughput,86,0.011366796259025369,0.03871953231342241,numpy_ridge
leave_memory_8,taps_domain_v4,ready_queue_wait,86,581.4250538362724,2610.7623161826195,numpy_ridge
leave_memory_8,taps_domain_v4,region_utilization,86,0.05755469537899516,0.13880704543060307,numpy_ridge
leave_memory_8,taps_admission_v4,p95_jct,86,4.819372775021833,20.684708103891634,numpy_ridge
leave_memory_8,taps_admission_v4,mean_jct,86,2.633467839242144,9.387206987021559,numpy_ridge
leave_memory_8,taps_admission_v4,throughput,86,0.0090466888564876,0.041282275052833724,numpy_ridge
leave_memory_8,taps_admission_v4,ready_queue_wait,86,638.3330276065517,3046.5887436579615,numpy_ridge
leave_memory_8,taps_admission_v4,region_utilization,86,0.049381613886813114,0.10254296515568068,numpy_ridge
leave_memory_8,taps_unified_v5,p95_jct,86,7.819847684773094,27.198177483254455,numpy_ridge
leave_memory_8,taps_unified_v5,mean_jct,86,2.9399930266133936,10.45572288111668,numpy_ridge
leave_memory_8,taps_unified_v5,throughput,86,0.013699566703523791,0.047186587229989384,numpy_ridge
leave_memory_8,taps_unified_v5,ready_queue_wait,86,595.3148116944976,2761.1736546848433,numpy_ridge
leave_memory_8,taps_unified_v5,region_utilization,86,0.058936650922552514,0.11838939708581983,numpy_ridge
leave_memory_8,taps_unified_adaptive_v6,p95_jct,86,6.7937399502728795,21.029924617397445,numpy_ridge
leave_memory_8,taps_unified_adaptive_v6,mean_jct,86,2.5972492593305034,10.542549598700584,numpy_ridge
leave_memory_8,taps_unified_adaptive_v6,throughput,86,0.016288803842211125,0.048570556547196775,numpy_ridge
leave_memory_8,taps_unified_adaptive_v6,ready_queue_wait,86,595.0608597954067,2971.2800742278423,numpy_ridge
leave_memory_8,taps_unified_adaptive_v6,region_utilization,86,0.06776111223288495,0.12411445512731076,numpy_ridge
leave_memory_16,reactive_admission,p95_jct,95,2.941902825182922,9.484309162107838,numpy_ridge
leave_memory_16,reactive_admission,mean_jct,95,2.8353508879622566,7.544288828020369,numpy_ridge
leave_memory_16,reactive_admission,throughput,95,0.010032937047818824,0.03679415798439101,numpy_ridge
