policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,domain_remote_kv_reduction,domain_p95_jct_gain,domain_mean_jct_gain,domain_ready_wait_gain
taps_domain,8,poisson,2,0.06086228297104016,42.77944121841756,25.762054399352834,113.10005057117242,127.60800199243378,69.2486195953594,0.2779291394836725,0.9777054132786677,6462668800.0,1.0,1.7792207792207793,35,8,0.05169004484908661,0.008530310082164969,0.051260200770815806,0.21013925483705015
naive_wafer,16,poisson,2,0.1118237223617541,70.22836714607219,62.9015390579041,123.00979791278111,138.91552748164742,730.6230045266647,0.5343347981471823,0.0,0.0,0.0,7.2,118,16,0.32382661531092316,0.016971267729552677,0.19708028040203426,0.3183832146858727
acd_nisp,16,poisson,2,0.11475260578754655,59.93654122945546,51.196030396037045,117.30431984067002,134.85286685448477,593.341737727863,0.45011637887799016,0.9849509531463594,17478565888.0,1.0,6.967741935483871,115,16,0.32382661531092316,0.016971267729552677,0.19708028040203426,0.3183832146858727
taps_domain,16,poisson,2,0.09928409303020884,48.12423087762629,40.77655453998492,115.31351682282093,151.83336680103355,404.431687862764,0.389171567006216,0.987216271838243,11818541056.0,1.0,4.819354838709677,74,16,0.32382661531092316,0.016971267729552677,0.19708028040203426,0.3183832146858727
naive_wafer,32,poisson,2,0.09448675972852681,131.97657170996487,129.5890669449434,167.4327960237012,272.3248954432683,3315.8512866772912,0.4664431564259019,0.0,0.0,0.0,18.346153846153847,282,32,0.40296215248987777,-0.2512195329991162,0.2691367586428296,0.3541480343009858
acd_nisp,32,poisson,2,0.10005571192550386,111.42108333186691,106.12511578243416,156.2625457298504,256.4446657505403,2709.3732103087614,0.4137377560970932,0.9842991741691297,40251015168.0,1.0,17.80128205128205,265,32,0.40296215248987777,-0.2512195329991162,0.2691367586428296,0.3541480343009858
taps_domain,32,poisson,2,0.09494544081730735,81.43357411945564,71.83425755386318,195.51874949335644,287.8011474905575,1749.8540136901622,0.3924860967909655,0.9842991741691297,24031379456.0,1.0,10.961538461538462,154,32,0.40296215248987777,-0.2512195329991162,0.2691367586428296,0.3541480343009858
naive_wafer,64,poisson,2,0.1371144780053935,256.9321539827629,267.2345059800133,303.2678750397114,415.17151485359545,14638.992831103138,0.6862170956443326,0.0,0.0,0.0,38.084664536741215,563,64,0.5341102340532198,-0.23539171058592956,0.26778251526925334,0.3055866516984421
acd_nisp,64,poisson,2,0.14764703940426943,214.4296842452136,217.94455260167624,264.82318880432734,377.90436483047154,12024.428486466473,0.6171278643088285,0.989161238596418,70002573312.0,1.0,37.19009584664537,553,64,0.5341102340532198,-0.23539171058592956,0.26778251526925334,0.3055866516984421
taps_domain,64,poisson,2,0.1567556444523661,157.0091640496385,180.7955136597733,327.16037221979855,371.8019567215889,8349.923646699817,0.6546993525174593,0.9913502319915901,32613482496.0,1.0,25.64696485623003,402,64,0.5341102340532198,-0.23539171058592956,0.26778251526925334,0.3055866516984421
