instance_id,budget_policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,duplicate_patch_rate,branches_pruned,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,selected_branches,patch_nonempty_selected
django__django-12708,fcfs_budget,2,15,,,,0.0,3,unknown,2,73896,5.07308292388916,18.281473775977233,2,0
django__django-12708,fcfs_budget,4,5,,,,0.0,1,unknown,4,77800,5.423334307140775,20.51259810822051,4,0
django__django-12708,fcfs_budget,4,10,,,,0.0,1,unknown,4,150770,10.338328838348389,39.21870897985821,4,0
django__django-12708,fcfs_budget,4,15,,,,0.0,1,unknown,4,150770,10.338328838348389,39.21870897985821,4,0
django__django-12708,pabb_budget,1,5,,,,0.0,4,unknown,1,28086,1.496358036994934,6.690902125422629,1,0
django__django-12708,pabb_budget,1,10,,,,0.0,4,unknown,1,56172,2.992716073989868,13.381804250845258,1,0
django__django-12708,pabb_budget,1,15,,,,0.0,4,unknown,1,56172,2.992716073989868,13.381804250845258,1,0
django__django-12708,pabb_budget,2,5,,,,0.0,3,unknown,2,39587,2.7588746150334678,10.888363765998026,2,0
django__django-12708,pabb_budget,2,10,,,,0.0,3,unknown,2,76874,5.2652459144592285,20.93723520388097,2,0
django__django-12708,pabb_budget,2,15,,,,0.0,3,unknown,2,76874,5.2652459144592285,20.93723520388097,2,0
django__django-12708,pabb_budget,4,5,,,,0.0,1,unknown,4,77800,5.423334307140775,20.51259810822051,4,0
django__django-12708,pabb_budget,4,10,,,,0.0,1,unknown,4,150770,10.338328838348389,39.21870897985821,4,0
django__django-12708,pabb_budget,4,15,,,,0.0,1,unknown,4,150770,10.338328838348389,39.21870897985821,4,0
django__django-13028,launch_all,1,5,,,,0.0,0,unknown,5,125254,19.681617074542576,29.32898666809758,5,0
django__django-13028,launch_all,1,10,,,,0.0,0,unknown,5,247363,39.002047538757324,57.58404644114409,5,0
django__django-13028,launch_all,1,15,,,,0.0,0,unknown,5,294157,40.16453838348389,64.86365489364844,5,0
django__django-13028,launch_all,2,5,,,,0.0,0,unknown,5,125254,19.681617074542576,29.32898666809758,5,0
django__django-13028,launch_all,2,10,,,,0.0,0,unknown,5,247363,39.002047538757324,57.58404644114409,5,0
django__django-13028,launch_all,2,15,,,,0.0,0,unknown,5,294157,40.16453838348389,64.86365489364844,5,0
django__django-13028,launch_all,4,5,,,,0.0,0,unknown,5,125254,19.681617074542576,29.32898666809758,5,0
django__django-13028,launch_all,4,10,,,,0.0,0,unknown,5,247363,39.002047538757324,57.58404644114409,5,0
django__django-13028,launch_all,4,15,,,,0.0,0,unknown,5,294157,40.16453838348389,64.86365489364844,5,0
django__django-13028,fcfs_budget,1,5,,,,0.0,4,unknown,1,14256,1.403407335281372,3.5497644623435614,1,0
django__django-13028,fcfs_budget,1,10,,,,0.0,4,unknown,1,28513,2.806814670562744,7.099528924687123,1,0
